Precinct,BIDEN,TRUMP,Jo Jorgensen,Brian Carroll,Jade Simmons,President Boddie,Don Blankenship,Brock Pierce,Tom Hoefling,Gloria La Riva,Alyson Kennedy,Kanye West,Bill Hammons,Jo Jorgensen,OTHERS
Acadia 01 01,49,713,5,1,0,0,0,0,2,0,0,2,0,5,15
Acadia 01 02A,76,140,4,1,0,0,1,0,0,0,0,1,2,4,13
Acadia 01 02B,28,209,3,1,1,0,0,0,0,0,0,0,0,3,8
Acadia 01 03A,36,278,6,0,0,0,0,0,0,0,0,2,0,6,14
Acadia 01 03B,70,204,2,0,0,0,0,0,0,0,0,1,1,2,6
Acadia 01 04A,24,217,1,2,0,0,1,0,0,0,0,0,0,1,5
Acadia 01 04B,58,234,5,0,1,0,0,0,0,0,0,1,1,5,13
Acadia 01 05A,43,151,2,0,0,0,0,0,0,0,0,1,0,2,5
Acadia 01 05B,106,86,3,1,0,0,1,1,0,0,0,0,0,3,9
Acadia 01 06,230,21,4,1,1,1,0,0,0,0,0,2,0,4,13
Acadia 01 07,185,52,2,2,2,0,0,0,0,0,0,1,0,2,9
Acadia 01 08,88,363,4,1,0,0,0,0,0,0,0,1,0,4,10
Acadia 01 09,25,358,4,1,2,1,0,0,0,0,0,1,0,4,13
Acadia 02 01,37,672,5,0,0,0,0,0,0,0,0,1,1,5,12
Acadia 02 02,17,499,7,1,0,0,0,1,0,0,0,0,0,7,16
Acadia 02 03,54,285,2,0,1,1,0,0,0,0,0,0,0,2,6
Acadia 02 04,20,351,2,0,0,0,0,0,0,0,1,1,0,2,6
Acadia 02 05,26,303,4,1,0,0,0,0,0,0,0,1,0,4,10
Acadia 03 01,128,437,8,1,0,0,0,0,0,0,1,0,0,8,18
Acadia 03 02,26,517,3,0,0,0,0,0,0,0,0,1,0,3,7
Acadia 03 03A,90,500,2,0,0,0,2,0,0,0,0,0,0,2,6
Acadia 03 03B,90,196,5,0,1,0,0,0,0,0,0,1,0,5,12
Acadia 03 04,269,42,2,0,0,0,0,0,0,0,0,0,0,2,4
Acadia 03 05,23,193,4,0,0,0,0,0,0,0,0,1,0,4,9
Acadia 03 06,36,217,2,0,0,0,0,0,0,0,0,0,0,2,4
Acadia 03 07,67,510,5,0,1,0,0,0,0,0,0,3,0,5,14
Acadia 04 01,27,401,2,0,0,0,0,0,0,0,0,0,0,2,4
Acadia 04 02,49,405,2,2,0,1,0,0,0,0,0,0,0,2,7
Acadia 04 04,41,704,7,0,0,0,1,0,0,0,0,1,0,7,16
Acadia 04 05,20,515,2,0,0,0,1,0,1,0,0,0,0,2,6
Acadia 04 06,26,379,3,0,0,0,0,0,0,0,0,1,0,3,7
Acadia 05 01A,24,191,2,0,0,1,0,0,0,0,0,0,0,2,5
Acadia 05 02A,32,234,3,0,0,0,0,0,0,1,0,0,0,3,7
Acadia 05 03,16,401,3,0,0,0,1,0,0,0,0,0,0,3,7
Acadia 05 04,20,269,5,0,0,0,0,0,0,1,0,0,1,5,12
Acadia 05 05,13,128,2,0,0,0,0,0,0,1,0,0,0,2,5
Acadia 06 01,219,109,2,0,0,0,0,0,0,0,0,1,0,2,5
Acadia 06 02,36,168,1,0,1,0,0,0,0,0,0,0,0,1,3
Acadia 06 03A,98,120,3,0,0,0,0,0,0,0,0,2,0,3,8
Acadia 06 03B,5,112,0,0,0,0,1,0,0,0,0,0,0,0,1
Acadia 06 04,120,211,6,0,0,0,0,0,0,0,0,1,0,6,13
Acadia 06 06,120,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadia 06 07,33,171,4,1,0,0,0,0,0,0,0,0,0,4,9
Acadia 06 08,45,243,1,1,0,0,0,0,0,0,0,1,0,1,4
Acadia 06 09,15,142,2,0,1,0,1,0,0,0,0,0,0,2,6
Acadia 06 10,17,158,1,0,0,0,0,0,0,0,0,0,0,1,2
Acadia 06 11,221,2,1,0,1,1,0,0,0,0,0,2,0,1,6
Acadia 06 12,40,226,4,0,0,0,1,0,0,0,0,1,0,4,10
Acadia 06 13,7,125,2,0,0,0,0,0,0,0,0,1,0,2,5
Acadia 06 14,16,370,4,0,0,0,0,0,0,0,0,0,0,4,8
Acadia 06 15,6,125,2,0,1,0,0,0,0,0,0,0,0,2,5
Acadia 06 16,14,172,4,0,0,0,0,0,0,0,0,0,0,4,8
Acadia 07 02,50,382,2,0,0,0,0,0,0,0,0,1,0,2,5
Acadia 07 03,26,640,5,0,0,0,0,1,0,0,0,1,0,5,12
Acadia 07 04,20,487,5,2,0,0,1,0,1,0,0,1,0,5,15
Allen 01 01,44,91,0,0,0,0,0,0,1,0,0,1,0,0,2
Allen 05 05A,26,85,1,0,0,0,0,0,0,0,0,0,0,1,2
Allen 01 02,26,85,1,0,0,0,0,0,0,0,0,0,0,1,2
Allen 02 01A,26,85,1,0,0,0,0,0,0,0,0,0,0,1,2
Allen 01 03,34,102,1,1,0,0,0,0,0,0,0,0,0,1,3
Allen 01 04,109,10,3,2,0,0,0,0,1,0,0,1,0,3,10
Allen 01 05,25,28,3,0,0,0,0,0,0,0,0,0,0,3,6
Allen 01 06,32,123,2,0,1,0,0,0,0,0,0,1,0,2,6
Allen 02 01,60,155,3,1,2,0,0,0,0,0,0,0,0,3,9
Allen 02 02,29,309,4,0,2,0,0,0,0,0,0,1,0,4,11
Allen 02 02A,40,122,4,0,0,0,0,0,0,0,0,1,0,4,9
Allen 02 03,10,265,1,2,0,0,0,0,0,0,0,0,0,1,4
Allen 02 04-C,57,227,3,0,0,0,0,0,0,0,0,0,0,3,6
Allen 02 04-O,99,230,3,0,0,0,1,0,0,0,0,0,0,3,7
Allen 02 05,86,6,1,1,1,0,0,1,0,0,0,1,0,1,6
Allen 02 06,11,206,1,0,0,0,0,0,0,0,0,0,0,1,2
Allen 03 01,10,226,2,0,0,0,0,0,0,0,0,0,0,2,4
Allen 03 02,42,497,7,0,1,0,0,0,0,0,0,0,0,7,15
Allen 04 02,8,281,1,0,0,0,0,0,0,0,0,0,0,1,2
Allen 04 03,18,261,2,0,0,0,0,0,0,0,0,1,0,2,5
Allen 05 02,19,422,1,0,0,0,0,0,0,1,0,0,0,1,3
Allen 05 03,17,235,0,0,0,1,0,0,0,0,0,0,0,0,1
Allen 05 04-C,68,321,1,0,0,0,0,0,0,0,0,3,0,1,5
Allen 05 04-O,11,217,3,0,0,0,0,0,0,0,0,0,0,3,6
Allen 05 05,2,171,1,0,0,0,0,0,0,0,0,0,0,1,2
Allen 05 07,250,42,4,2,2,0,0,1,0,0,0,0,0,4,13
Allen 05 08A,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen 05 09,118,298,2,0,1,1,1,0,0,0,0,1,1,2,9
Allen 05 10,19,363,1,0,0,0,0,0,0,0,0,0,0,1,2
Allen 05 12,40,22,1,0,0,0,0,0,0,0,0,1,0,1,3
Allen 05 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascension 00 01A,42,190,8,0,0,0,0,0,0,0,0,2,0,8,18
Ascension 00 01 B,41,159,10,0,1,0,0,0,0,0,0,3,1,10,25
Ascension 00 02A,60,293,9,0,0,0,0,0,0,1,0,0,0,9,19
Ascension 00 02 B,53,296,5,2,0,0,0,0,1,0,0,1,0,5,14
Ascension 00 03,93,405,18,0,0,1,0,0,1,0,0,0,0,18,38
Ascension 00 04,103,384,13,2,0,0,0,0,0,0,0,0,0,13,28
Ascension 00 05,112,411,13,1,1,0,0,0,1,0,1,2,1,13,33
Ascension 00 06A,97,339,8,1,0,0,0,0,0,0,0,1,0,8,18
Ascension 00 06 B,113,368,8,1,0,0,0,0,0,0,0,5,0,8,22
Ascension 00 06 C,104,293,7,2,0,0,0,0,1,0,0,0,0,7,17
Ascension 00 07A,84,230,6,0,0,0,0,1,0,0,0,1,0,6,14
Ascension 00 07 B,99,246,4,0,0,0,0,1,0,0,0,1,0,4,10
Ascension 00 08A,56,192,9,0,0,0,0,0,0,0,0,0,0,9,18
Ascension 00 08 B,56,198,5,1,0,0,1,0,0,0,0,0,0,5,12
Ascension 00 09,165,433,12,0,0,0,1,0,0,0,0,1,1,12,27
Ascension 00 10,114,574,14,0,0,0,0,0,0,1,1,3,1,14,34
Ascension 00 11A,107,298,6,2,1,1,0,0,1,0,0,0,0,6,17
Ascension 00 11 B,84,252,10,0,0,0,0,0,0,1,1,1,0,10,23
Ascension 00 12,110,522,19,1,0,0,0,0,0,0,0,1,0,19,40
Ascension 00 13,134,566,25,0,0,0,0,0,0,0,0,2,0,25,52
Ascension 00 14,44,452,6,1,0,0,0,1,0,2,0,0,0,6,16
Ascension 00 15,68,535,6,1,0,0,1,1,0,0,0,0,0,6,15
Ascension 00 16,127,364,6,0,1,0,1,0,0,1,0,0,0,6,15
Ascension 00 17,263,361,8,0,0,0,0,0,0,0,0,5,1,8,22
Ascension 00 18,115,544,11,1,2,0,0,1,0,0,0,1,0,11,27
Ascension 00 20,108,353,20,1,0,0,0,0,0,0,0,2,0,20,43
Ascension 00 21,48,242,3,0,0,0,0,0,0,0,0,1,0,3,7
Ascension 00 22,48,298,10,0,0,0,0,0,0,0,0,1,0,10,21
Ascension 00 23,75,200,0,0,0,0,0,0,1,2,0,0,0,0,3
Ascension 00 24,36,147,4,0,0,0,0,0,0,0,0,0,0,4,8
Ascension 00 25,59,410,8,0,0,0,1,0,0,0,0,1,0,8,18
Ascension 00 26A,50,455,7,0,0,1,0,0,0,0,0,0,0,7,15
Ascension 00 26 B,42,424,7,1,2,0,0,0,0,0,0,1,0,7,18
Ascension 00 27,74,585,14,1,0,0,1,0,0,0,0,3,0,14,33
Ascension 00 28,160,129,4,2,0,0,0,0,0,0,0,0,1,4,11
Ascension 00 30,137,50,2,0,0,0,0,1,0,0,0,0,0,2,5
Ascension 00 31,152,189,5,3,0,0,0,0,0,0,0,0,0,5,13
Ascension 00 32,143,211,1,0,1,0,0,0,0,0,0,2,0,1,5
Ascension 00 33,66,526,17,1,0,0,0,0,0,0,0,0,0,17,35
Ascension 00 34,118,406,4,2,0,0,0,0,0,0,0,0,1,4,11
Ascension 00 35,52,486,7,0,0,0,0,0,0,0,0,2,0,7,16
Ascension 00 36,297,166,7,1,2,0,0,1,0,0,0,7,0,7,25
Ascension 00 37A,307,74,7,3,0,1,0,1,0,0,0,0,0,7,19
Ascension 00 37 B,293,101,5,0,0,0,0,0,0,0,0,2,0,5,12
Ascension 00 39,102,93,4,1,0,0,2,0,0,0,0,0,0,4,11
Ascension 00 40A,152,397,6,1,0,0,0,0,0,0,0,1,0,6,14
Ascension 00 40 B,174,471,4,1,0,0,0,0,0,0,0,4,0,4,13
Ascension 00 41,55,370,7,0,1,0,0,0,0,0,0,1,0,7,16
Ascension 00 42,107,77,4,2,1,1,0,0,0,0,0,0,0,4,12
Ascension 00 43,38,389,9,0,1,0,0,0,0,0,0,1,0,9,20
Ascension 00 44,298,85,3,0,0,0,0,2,0,1,0,1,0,3,10
Ascension 00 45,111,17,2,1,0,0,0,0,0,0,0,0,1,2,6
Ascension 00 47,436,30,5,1,1,2,0,1,0,2,1,2,0,5,20
Ascension 00 48,67,100,3,0,0,0,0,0,0,0,0,0,0,3,6
Ascension 00 50,40,94,1,1,0,0,0,0,0,0,0,1,1,1,5
Ascension 00 51,247,24,4,2,3,0,1,0,0,1,1,5,0,4,21
Ascension 00 52,58,81,4,1,0,0,0,1,0,0,0,1,0,4,11
Ascension 00 53,95,136,0,1,0,0,0,0,0,0,0,0,0,0,1
Ascension 00 54,139,69,1,0,1,0,0,0,0,0,0,1,0,1,4
Ascension 00 55,175,30,2,2,1,0,0,0,0,0,0,2,0,2,9
Ascension 00 56,42,5,1,0,2,0,0,0,0,0,0,0,0,1,4
Ascension 00 57,142,13,1,0,0,2,1,1,0,0,0,0,1,1,7
Ascension 00 58,127,246,4,0,0,1,0,0,0,1,0,2,0,4,12
Ascension 00 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascension 00 70,5,38,1,0,0,0,0,0,0,0,0,0,0,1,2
Ascension 00 71A,118,265,9,0,0,0,0,0,0,1,0,1,0,9,20
Ascension 00 71 B,114,287,11,2,0,0,0,0,0,1,0,3,1,11,29
Ascension 00 72,106,281,10,1,1,0,0,0,0,0,0,1,1,10,24
Ascension 00 73,13,146,1,0,0,0,0,0,0,0,0,0,0,1,2
Ascension 00 74,85,2,1,0,0,1,0,0,0,0,0,0,0,1,3
Ascension 00 75,33,39,1,0,1,0,0,0,0,1,0,0,0,1,4
Ascension 00 76,110,549,16,1,2,0,0,2,0,0,0,4,0,16,41
Ascension 00 77,92,301,6,0,1,0,0,0,1,0,0,1,0,6,15
Ascension 00 78,61,355,9,0,0,0,0,0,1,0,0,1,0,9,20
Ascension 00 01,475,430,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 01A,355,406,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 01B,86,374,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 01C,139,323,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 02,500,296,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 02A,312,82,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 02B,203,284,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 02C,179,423,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 03,114,301,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 03A,369,269,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 03B,328,355,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 03C,311,282,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 04,479,188,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 04A,429,314,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 04B,410,69,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 04C,241,292,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 05,50,345,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 05A,245,158,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 05B,261,141,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 05C,81,61,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 06,178,377,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 06A,468,471,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 06B,247,332,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 06C,357,308,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 07,405,331,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 07A,222,354,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 07B,245,204,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 07C,234,497,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 08,408,481,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 08A,446,374,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 08B,484,145,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 08C,342,298,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 09,436,174,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 09A,289,460,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 09B,341,84,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 09C,485,345,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 10,191,473,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 10A,431,254,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 10B,318,142,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 10C,297,445,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 11,185,61,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 11A,356,140,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 11B,188,380,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 11C,294,238,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 12,421,123,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 12A,107,124,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 12B,490,271,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 12C,70,254,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 13,264,259,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 13A,51,390,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 13B,443,187,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 13C,100,104,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 14,317,197,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 14A,370,52,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 14B,156,268,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 14C,340,483,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 15,236,142,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 15A,284,55,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 15B,175,74,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 15C,463,215,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 16,486,202,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 16A,146,500,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 16B,133,268,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 16C,179,229,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 17,463,268,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 17A,191,482,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 17B,155,374,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 17C,163,179,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 18,225,491,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 18A,381,142,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 18B,418,110,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 18C,204,162,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 19,269,71,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 19A,171,287,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 19B,253,154,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 19C,276,50,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 20,231,188,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 20A,121,225,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 20B,480,280,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 20C,413,456,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 21,82,321,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 21A,165,393,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 21B,104,189,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 21C,203,411,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 22,456,240,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 22A,441,306,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 22B,306,437,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 22C,357,198,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 23,174,363,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 23A,194,312,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 23B,297,346,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 23C,160,400,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 24,354,100,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 24A,275,467,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 24B,380,462,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 24C,494,381,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 25,464,433,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 25A,435,236,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 25B,323,69,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 25C,263,378,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 26,196,396,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 26A,254,462,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 26B,410,85,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 26C,477,426,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 27,151,97,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 27A,126,146,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 27B,225,323,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 27C,292,355,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 28,273,177,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 28A,52,263,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 28B,152,321,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 28C,462,256,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 29,60,267,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 29A,259,426,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 29B,304,500,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 29C,174,164,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 30,127,466,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 30A,146,286,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 30B,183,72,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 30C,129,125,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 31,169,245,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 31A,302,427,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 31B,148,220,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 31C,290,150,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 32,132,356,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 32A,486,436,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 32B,307,271,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 32C,491,122,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 33,296,369,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 33A,368,158,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 33B,215,323,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 33C,66,366,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 34,239,218,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 34A,443,157,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 34B,442,310,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 34C,109,349,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 35,257,446,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 35A,114,500,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 35B,158,185,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 35C,111,259,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 36,275,64,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 36A,255,315,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 36B,433,305,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 36C,230,114,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 37,231,133,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 37A,108,253,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 37B,412,324,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 37C,279,461,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 38,354,326,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 38A,211,426,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 38B,198,496,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 38C,382,241,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 39,278,282,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 39A,427,181,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 39B,279,458,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 39C,478,378,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 40,298,185,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 40A,264,440,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 40B,165,200,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 40C,110,350,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 41,227,299,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 41A,128,149,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 41B,395,128,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 41C,426,469,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 42,403,123,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 42A,218,310,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 42B,449,390,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 42C,417,75,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 43,500,425,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 43A,331,186,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 43B,355,276,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 43C,432,412,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 44,274,363,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 44A,200,323,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 44B,150,492,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 44C,182,90,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 45,403,242,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 45A,69,212,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 45B,345,376,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 45C,468,304,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 46,273,84,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 46A,136,405,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 46B,136,86,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 46C,385,432,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 47,477,434,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 47A,67,479,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 47B,196,58,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 47C,437,441,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 48,186,131,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 48A,481,112,6,3,1,2,1,0,0,0,0,1,0,6,20
Ascension 00 48B,204,157,6,3,1,2,1,0,0,0,0,1,0,6,20
