Location,BIDEN,TRUMP,OTHERS,Total Votes
District 1,62.1,36.6,1.3,371203
District 2,47.9,50.8,1.3,374729
District 3,49.2,49.4,1.4,374450
District 4,44.1,54.6,1.4,373312
District 5,51.9,46.7,1.4,371800
District 6,57.2,41.5,1.3,372146
District 7,54.2,44.3,1.5,373539
District 8,71.8,27.2,1,366509
District 9,62.2,36.8,1,368655
District 10,84.2,15,0.8,368124
District 11,52.7,46,1.3,370974
District 12,67.3,31.4,1.3,370753
New Jersey,57.33,41.4,1.27,"4,549,457"
